! _polyline
-8.1147,8.1147,10.125
-9.8955,5.7131,10.25
-10.989,2.9445,10.375
-11.3269,-0,10.5
-10.893,-2.9188,10.625
-9.7234,-5.6138,10.75
-7.904,-7.904,10.875
-5.5641,-9.6373,11
-2.8673,-10.701,11.125
-0,-11.0288,11.25
2.8416,-10.6051,11.375
5.4647,-9.4652,11.5
7.6932,-7.6932,11.625
9.3792,-5.4151,11.75
10.4131,-2.7902,11.875
10.7308,0,12
10.3171,2.7645,12.125
9.2071,5.3157,12.25
7.4824,7.4824,12.375
5.266,9.121,12.5
2.713,10.1252,12.625
0,10.4327,12.75
-2.6873,10.0292,12.875
-5.1667,8.9489,13
-7.2716,7.2716,13.125
-8.8629,5.117,13.25
-9.8373,2.6359,13.375
-10.1346,-0,13.5
-9.7413,-2.6102,13.625
-8.6908,-5.0176,13.75
-7.0609,-7.0609,13.875
-4.9679,-8.6047,14
-2.5587,-9.5494,14.125
-0,-9.8365,14.25
2.533,-9.4534,14.375
4.8686,-8.4326,14.5
6.8501,-6.8501,14.625
8.3466,-4.8189,14.75
9.2614,-2.4816,14.875
9.5385,0,15
9.1655,2.4559,15.125
8.1745,4.7196,15.25
6.6393,6.6393,15.375
4.6699,8.0885,15.5
2.4044,8.9735,15.625
0,9.2404,15.75
-2.3787,8.8775,15.875
-4.5705,7.9164,16
-6.4286,6.4286,16.125
-7.8303,4.5208,16.25
-8.6856,2.3273,16.375
-8.9423,-0,16.5
-8.5896,-2.3016,16.625
-7.6582,-4.4215,16.75
-6.2178,-6.2178,16.875
-4.3718,-7.5722,17
-2.2501,-8.3977,17.125
-0,-8.6442,17.25
2.2244,-8.3017,17.375
4.2724,-7.4001,17.5
6.007,-6.007,17.625
7.314,-4.2228,17.75
8.1098,-2.173,17.875
8.3462,0,18
8.0138,2.1473,18.125
7.1419,4.1234,18.25
5.7962,5.7962,18.375
4.0737,7.0559,18.5
2.0959,7.8218,18.625
0,8.0481,18.75
-2.0701,7.7259,18.875
-3.9744,6.8838,19
-5.5855,5.5855,19.125
-6.7977,3.9247,19.25
-7.5339,2.0187,19.375
-7.75,-0,19.5
-7.4379,-1.993,19.625
-6.6256,-3.8253,19.75
-5.3747,-5.3747,19.875
-3.7756,-6.5396,20
-1.9416,-7.246,20.125
-0,-7.4519,20.25
1.9158,-7.15,20.375
3.6763,-6.3675,20.5
5.1639,-5.1639,20.625
6.2815,-3.6266,20.75
6.9581,-1.8644,20.875
7.1538,0,21
6.8621,1.8387,21.125
6.1094,3.5272,21.25
4.9531,4.9531,21.375
3.4776,6.0233,21.5
1.7873,6.6702,21.625
0,6.8558,21.75
-1.7615,6.5742,21.875
-3.3782,5.8512,22
-4.7424,4.7424,22.125
-5.7652,3.3285,22.25
-6.3822,1.7101,22.375
-6.5577,-0,22.5
-6.2863,-1.6844,22.625
-5.5931,-3.2292,22.75
-4.5316,-4.5316,22.875
-3.1795,-5.507,23
-1.633,-6.0943,23.125
-0,-6.2596,23.25
1.6072,-5.9983,23.375
3.0801,-5.3349,23.5
4.3208,-4.3208,23.625
5.2489,-3.0304,23.75
5.8064,-1.5558,23.875
5.9615,0,24
5.7104,1.5301,24.125
5.0768,2.9311,24.25
4.1101,4.1101,24.375
2.8814,4.9907,24.5
1.4787,5.5185,24.625
0,5.6635,24.75
-1.453,5.4225,24.875
-2.7821,4.8187,25
-3.8993,3.8993,25.125
-4.7326,2.7324,25.25
-5.2306,1.4015,25.375
-5.3654,-0,25.5
-5.1346,-1.3758,25.625
-4.5605,-2.633,25.75
-3.6885,-3.6885,25.875
-2.5833,-4.4745,26
-1.3244,-4.9426,26.125
-0,-5.0673,26.25
1.2987,-4.8467,26.375
2.484,-4.3024,26.5
3.4777,-3.4777,26.625
4.2163,-2.4343,26.75
4.6547,-1.2472,26.875
4.7692,0,27
4.5587,1.2215,27.125
4.0442,2.3349,27.25
3.267,3.267,27.375
2.2853,3.9582,27.5
1.1701,4.3668,27.625
0,4.4712,27.75
-1.1444,4.2708,27.875
-2.1859,3.7861,28
-3.0562,3.0562,28.125
-3.7,2.1362,28.25
-4.0789,1.0929,28.375
-4.1731,-0,28.5
-3.9829,-1.0672,28.625
-3.5279,-2.0369,28.75
-2.8454,-2.8454,28.875
-1.9872,-3.4419,29
-1.0158,-3.7909,29.125
-0,-3.875,29.25
0.9901,-3.695,29.375
1.8878,-3.2698,29.5
